,accuracy,roc_auc,precision_weighted,recall_weighted,f1-score_weighted,precision_macro,recall_macro,f1-score_macro
Logistic Regression - Baseline,0.6885245901639344,0.8533918514454759,0.6822383828423518,0.6885245901639344,0.6818820523738558,0.32330827067669177,0.3814102564102564,0.34268398268398265
Logistic Regression - Grid Search,0.6721311475409836,0.8472158758156771,0.6817836571934934,0.6721311475409836,0.6731418710711206,0.32316602316602316,0.3762820512820513,0.3399498746867168
Logistic Regression - Randomized Search,0.6721311475409836,0.8534905891857232,0.679051416756335,0.6721311475409836,0.6712683347713547,0.3176104676104676,0.3762820512820513,0.33614035087719296
Decision Tree - Baseline,0.6557377049180327,0.8059480952678569,0.6562841530054645,0.6557377049180327,0.637297565822156,0.3088888888888889,0.44102564102564107,0.3207272727272727
Decision Tree - Grid Search,0.639344262295082,0.7909679330930572,0.5719164715066354,0.639344262295082,0.5874911807428926,0.2130952380952381,0.37948717948717947,0.2412151898734177
Decision Tree - Randomized Search,0.639344262295082,0.7909679330930572,0.5719164715066354,0.639344262295082,0.5874911807428926,0.2130952380952381,0.37948717948717947,0.2412151898734177
Random Forest - Baseline,0.7213114754098361,0.8365311525614405,0.6973067915690867,0.7213114754098361,0.7064367326662409,0.35558608058608054,0.4198717948717949,0.37998001998001996
Random Forest - Grid Search,0.6557377049180327,0.8299184959363707,0.6557856389607898,0.6557377049180327,0.6544753221705969,0.29502923976608186,0.3262820512820513,0.30768525592055
Random Forest - Randomized Search,0.7213114754098361,0.8365311525614405,0.6973067915690867,0.7213114754098361,0.7064367326662409,0.35558608058608054,0.4198717948717949,0.37998001998001996
SVM - Baseline,0.6557377049180327,0.8326320766290974,0.6214656994345119,0.6557377049180327,0.6371957277694984,0.2709639953542392,0.2980769230769231,0.28136363636363637
SVM - Grid Search,0.6885245901639344,0.8808526908377952,0.6614754098360655,0.6885245901639344,0.6741338023761763,0.305,0.33653846153846156,0.31899236487844085
SVM - Randomized Search,0.6557377049180327,0.8319617687840131,0.6214656994345119,0.6557377049180327,0.6371957277694984,0.2709639953542392,0.2980769230769231,0.28136363636363637
